Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
06327,="11:50:48.346",0x115BCD9,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06328,="11:50:48.346",0x115BDD0,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06329,="11:50:48.376",0x115BECC,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06330,="11:50:48.406",0x115BFC4,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06331,="11:50:48.436",0x115C0BF,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06332,="11:50:48.465",0x115C1B7,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06333,="11:50:48.496",0x115C2B3,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06334,="11:50:48.496",0x115C335,ch1,Receive,0x1073C0D1,Data,Extended,0x08,x| 00 08 09 00 00 00 00 00 
06335,="11:50:48.496",0x115C33B,ch1,Receive,0x1075C0D1,Data,Extended,0x08,x| 00 00 59 00 7D 45 04 00 
06336,="11:50:48.496",0x115C341,ch1,Receive,0x1080C0D1,Data,Extended,0x08,x| FF FF FF FF 00 FF 00 01 
06337,="11:50:48.496",0x115C3AB,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06338,="11:50:48.525",0x115C4A6,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06339,="11:50:48.555",0x115C59E,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06340,="11:50:48.586",0x115C699,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06341,="11:50:48.615",0x115C791,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06342,="11:50:48.645",0x115C88D,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06343,="11:50:48.676",0x115C984,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06344,="11:50:48.676",0x115CA80,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06345,="11:50:48.706",0x115CB78,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06346,="11:50:48.736",0x115CC74,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06347,="11:50:48.765",0x115CD6B,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06348,="11:50:48.794",0x115CE67,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06349,="11:50:48.826",0x115CF5F,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06350,="11:50:48.826",0x115D05A,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06351,="11:50:48.855",0x115D153,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06352,="11:50:48.885",0x115D24E,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06353,="11:50:48.915",0x115D345,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06354,="11:50:48.945",0x115D441,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06355,="11:50:48.975",0x115D539,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06356,="11:50:48.975",0x115D634,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06357,="11:50:49.005",0x115D6A0,ch1,Receive,0x1081C0D1,Data,Extended,0x08,x| FF 00 FF 00 FF FF FF FF 
06358,="11:50:49.005",0x115D6A6,ch1,Receive,0x1082C0D1,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
06359,="11:50:49.005",0x115D6AC,ch1,Receive,0x107BFFD1,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
06360,="11:50:49.005",0x115D72C,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06361,="11:50:49.036",0x115D828,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06362,="11:50:49.065",0x115D920,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06363,="11:50:49.096",0x115DA19,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
